date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale,Weekly Score50 RegimeState,Weekly Score50 Rotation,Weekly Score50 RangeOsc,Biweekly Score50 RegimeState,Biweekly Score50 Rotation,Biweekly Score50 RangeOsc
2023-03-03,0.9935266569974968,1.0328023827928663,1.0328023827928663,1.0463644626176287,1.05416889991815,1.04114663096953,1.041368355965955,1.04114663096953,1.0154718790332458,1.0148057324147781,1.0154718790332458
2023-03-06,1.01105096618644,1.051019456446266,1.051019456446266,1.0684735714616322,1.0764429122541086,1.0470068772096055,1.047229850217634,1.0470068772096055,1.0212640231334313,1.0205940768851702,1.0212640231334313
2023-03-07,1.007378475553355,1.0472017862811824,1.0472017862811824,1.0635905176554246,1.0715234375939564,1.0471710553780933,1.0473940633498846,1.0471710553780933,1.0214241646382392,1.0207541133376137,1.0214241646382392
2023-03-08,1.000589296618379,1.040144220052974,1.040144220052974,1.0564439315238199,1.0643235477757593,1.0446399991545952,1.0448624681067946,1.0446399991545952,1.0189553397261473,1.0182869079675305,1.0189553397261473
2023-03-09,1.0106809919672586,1.050634856544038,1.050634856544038,1.068957065006245,1.0769300119944485,1.0446061102128479,1.04482857194798,1.0446061102128479,1.0189222840149177,1.018253873940752,1.0189222840149177
2023-03-10,0.9952913932239127,1.0346368819145624,1.0346368819145624,1.0529063436085406,1.0607595743284153,1.0372085895042615,1.0374294758462608,1.0372085895042615,1.0117066468261744,1.011042970189155,1.0117066468261744
2023-03-13,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.0491895728409466,1.057015081571541,1.0366182431082624,1.036839003728727,1.0366182431082624,1.011130815331135,1.0104675164379124,1.011130815331135
2023-03-14,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.0362569686696628,1.0439860179905647,1.0291306122092991,1.0293497782465562,1.0291306122092991,1.0038272834995263,1.003168775702082,1.0038272834995263
2023-03-15,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.051539175659251,1.05938220918979,1.034279435988684,1.0344996985313708,1.034279435988684,1.00884951267662,1.008187710311347,1.00884951267662
2023-03-16,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.0521654846971344,1.0600131896302216,1.0339249249209483,1.0341451119661376,1.0339249249209483,1.0085037180050072,1.0078421424800397,1.0085037180050072
2023-03-17,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.0595913351897674,1.067494426736834,1.0377437519714816,1.037964752282919,1.0377437519714816,1.0122286512047514,1.0115646321343679,1.0122286512047514
2023-03-20,0.9944951601093336,1.0338091724090308,1.0338091724090308,1.056767405494096,1.0646494344161994,1.033773779548841,1.0339939344057623,1.033773779548841,1.0083562888580206,1.0076948100461474,1.0083562888580206
