,Code,Name,MAD_gap_pct,MRAT,momentum_1m,momentum_3m,momentum_6m,momentum_12m,avg_momentum,current_price,volume_20d_avg
781,088800,에이스테크,12.22,1.1222,-6.54,-9.98,24.15,32.82,10.11,2930,447766.75
782,125210,아모그린텍,12.22,1.1222,16.49,30.02,17.19,31.1,23.7,7840,178068.05
783,456010,아이씨티케이,12.2,1.122,7.19,34.89,48.79,120.99,52.96,17900,826659.3
784,259630,엠플러스,12.1,1.121,8.27,-11.47,6.8,71.59,18.8,13350,286678.3
785,035510,신세계 I&C,12.04,1.1204,0.55,8.2,19.5,46.77,18.76,18200,180580.4
786,322310,오로스테크놀로지,12.04,1.1204,13.42,29.56,42.54,27.85,28.34,29150,214931.25
787,457370,한켐,12.01,1.1201,7.23,38.6,8.96,2.75,14.38,10090,263223.45
788,069260,TKG휴켐스,11.99,1.1199,4.37,3.37,10.7,20.19,9.65,19350,165029.05
789,104480,티케이케미칼,11.96,1.1196,10.04,22.09,17.08,37.21,21.6,1995,710299.85
790,040300,YTN,11.92,1.1192,1.68,9.8,28.85,19.54,14.97,3640,645093
791,388790,라이콤,11.86,1.1186,24.76,34.58,46.4,23.34,32.27,3250,1035234.6
792,389020,자람테크놀로지,11.84,1.1184,25.9,47.89,40.29,13.39,31.87,49100,192176.7
793,105740,디케이락,11.82,1.1182,-0.6,3.41,13.61,30.98,11.85,10020,218605.35
794,052020,에스티큐브,11.81,1.1181,22.83,21.66,18.91,12.19,18.9,8930,377171.2
795,064350,현대로템,11.8,1.118,3.29,22.63,20.88,153.75,50.14,220000,895122.25
796,007330,푸른저축은행,11.75,1.1175,14.66,11.08,19.69,44.28,22.43,11730,321565.35
797,014620,성광벤드,11.74,1.1174,16.64,32.58,6.47,22.07,19.44,35400,295360.45
798,049520,유아이엘,11.73,1.1173,10.43,37.67,29.87,-4.4,18.39,4130,213813.75
799,004000,롯데정밀화학,11.71,1.1171,10.17,12.49,18.79,31.69,18.29,50900,86152.95
800,084730,팅크웨어,11.71,1.1171,-2.37,22.48,9.85,-3.36,6.65,9480,99381.25
801,220100,퓨쳐켐,11.69,1.1169,-9.55,-24.55,23.54,-4.92,-3.87,23200,195041.8
802,033540,파라텍,11.69,1.1169,13.27,20.94,-2.83,-17.33,3.51,1340,1608205.65
803,032640,LG유플러스,11.69,1.1169,17.25,16.48,19.61,69.62,30.74,17810,1092951.85
804,028100,동아지질,11.64,1.1164,4.46,15.12,18.06,32.65,17.57,18040,55569.1
805,382480,지아이텍,11.62,1.1162,11.92,33.42,28.61,26.48,25.11,2675,1300992.9
806,072990,에이치시티,11.6,1.116,2.04,-1.43,10.11,29.83,10.14,6010,116446.8
807,013360,일성건설,11.58,1.1158,-6.76,44.42,30.74,-43.03,6.34,1863,782006.4
808,005720,넥센,11.55,1.1155,20.14,22.46,22.24,52.74,29.39,6980,93525.95
809,078520,에이블씨엔씨,11.53,1.1153,14.36,23.53,-12.43,59.53,21.25,11550,190370.85
810,007860,서연,11.53,1.1153,6.05,22.84,25.97,65.46,30.08,11400,207663.85
811,033340,좋은사람들,11.5,1.115,14.01,28.93,-16.25,205.47,58.04,2010,9925097.25
812,025900,동화기업,11.46,1.1146,10.25,17.24,5.51,0.09,8.27,10540,260927.55
813,037070,파세코,11.46,1.1146,7.45,12.69,36.72,51.88,27.18,8080,68452.2
814,026890,스틱인베스트먼트,11.45,1.1145,7.94,8.93,19.96,57.99,23.7,11960,154434.4
815,025320,시노펙스,11.41,1.1141,7.54,22.54,8.18,49.56,21.95,6850,1376147.8
816,144960,뉴파워프라즈마,11.41,1.1141,0.33,22.23,19.44,30.87,18.22,6020,506062.45
817,016590,신대양제지,11.4,1.114,28.63,6.85,50.77,160.27,61.63,15590,128601.1
818,059100,아이컴포넌트,11.38,1.1138,30.52,35.11,16.94,27.13,27.43,6350,210454.6
819,086060,진바이오텍,11.35,1.1135,21.16,29.93,15.01,63.58,32.42,5210,483778
820,092600,앤씨앤,11.33,1.1133,36.92,40.04,30.39,1.1,27.11,738,394535.1
821,241560,두산밥캣,11.25,1.1125,4.73,11.85,17.58,41.72,18.97,64200,471342.6
822,031430,신세계인터내셔날,11.2,1.112,10.57,23.28,18.51,24.01,19.09,12550,161740.55
823,094360,칩스앤미디어,11.19,1.1119,2.63,27.99,18.13,6.74,13.87,18700,359843.15
824,004090,한국석유,11.06,1.1106,17.11,19.87,20.65,31.02,22.16,16770,1758352.85
825,049550,잉크테크,10.95,1.1095,14.16,14.36,6.27,-13.71,5.27,3305,252726
826,106190,하이텍팜,10.91,1.1091,37.99,36.13,41.39,0.56,29.02,16090,63590.45
827,149950,아바텍,10.87,1.1087,15.75,17.21,38.75,21.84,23.39,11100,82689.45
828,054450,텔레칩스,10.87,1.1087,-9.18,25.22,16.95,-2.97,7.5,14350,309901.95
829,123890,한국자산신탁,10.85,1.1085,20.69,21.93,26.06,17.82,21.62,2975,1202702.9
830,083930,아바코,10.83,1.1083,8.27,11.34,16.41,0.59,9.15,15320,202645.6
831,351330,이삭엔지니어링,10.75,1.1075,-14.35,7.49,14.25,7.77,3.79,8180,77112.5
832,095190,이엠코리아,10.59,1.1059,-5.5,16,17.77,11,9.82,2320,253030.6
833,000440,중앙에너비스,10.58,1.1058,29.84,33.76,45.35,44.65,38.4,20800,392292.8
834,051910,LG화학,10.58,1.1058,11.59,-1.76,36.13,71.43,29.34,390000,445108.45
835,254490,미래반도체,10.54,1.1054,33.66,43.52,26.24,79.85,45.82,21600,834998.1
836,415640,KB발해인프라,10.54,1.1054,0.3,2.87,16.65,39.17,14.75,10020,127065.15
837,003850,보령,10.47,1.1047,7.13,16.96,20.45,3.49,12.01,10070,349668.7
838,043370,피에이치에이,10.46,1.1046,12.61,22.6,21.38,25.94,20.63,13400,108751.6
839,210540,디와이파워,10.45,1.1045,9.99,12.6,19.14,25.21,16.74,14750,114389.6
840,091700,파트론,10.43,1.1043,17.85,23.54,32.03,20.71,23.53,8450,433594.55
841,311320,지오엘리먼트,10.42,1.1042,0.13,20.51,13.08,2.17,8.98,7520,57872.3
842,472850,폰드그룹,10.39,1.1039,18.86,36.27,18.11,98.1,42.84,6240,133384.1
843,095660,네오위즈,10.37,1.1037,-12.05,5.07,6.8,18.54,4.59,25900,136827.3
844,014710,사조씨푸드,10.37,1.1037,-4.42,17.92,2.71,79.45,23.92,9080,125684.4
845,084010,대한제강,10.36,1.1036,21.96,18.92,23.19,24.78,22.21,12830,171450.8
846,291650,압타머사이언스,10.25,1.1025,-1.48,53.86,0.5,21.89,18.69,1197,554622.05
847,058430,포스코스틸리온,10.21,1.1021,15.11,25.93,25.43,30.41,24.22,47600,93838.75
