date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2026-01-28,1.0275426678439559,0.971526992735902,0.971526992735902,1.0443151201623746,1.05694573014227
2026-01-29,1.0287394949596191,0.9822372962796287,0.9822372962796287,1.0571172041607286,1.0699026506710843
2026-01-30,1.024683134860156,0.9772607791464422,0.9772607791464422,1.0478568123952579,1.0605302578492346
2026-02-02,1.000234915245293,0.9529508242683724,0.9529508242683724,1.01685425560097,1.0291527364530866
2026-02-03,0.9994347273130967,0.9521884636089577,0.9521884636089577,1.0371917184133317,1.049736173450638
2026-02-04,1.014977201321415,0.9521884636089577,0.9521884636089577,1.049427472424123,1.0621199144375217
2026-02-05,1.0141695150030443,0.9521884636089577,0.9521884636089577,1.046163742969661,1.0588167113672675
2026-02-06,0.9933534914526482,0.9521884636089577,0.9521884636089577,1.0319567679575223,1.0444379081809425
2026-02-09,1.0415269613151281,0.9705540935171761,0.9705540935171761,1.0633908872212696,1.0762522116370055
2026-02-10,1.060210317707032,0.9952867445501947,0.9952867445501947,1.088877674359029,1.1020472521570652
2026-02-11,1.067443519941119,0.999558587999354,0.999558587999354,1.090667557930252,1.1038587837163918
2026-02-12,1.0734546171309898,1.003350055463569,1.003350055463569,1.0940516751730545,1.107283830621319
2026-02-13,1.0775341046147964,1.0050386802163551,1.0050386802163551,1.0956510472837373,1.1089025465535676
2026-02-19,1.0868513904133732,1.013678925491915,1.013678925491915,1.1139373729983346,1.126272934051467
2026-02-20,1.1098558464789912,1.036098283303132,1.036098283303132,1.1293195668044298,1.1476291216774077
2026-02-23,1.1196234364906874,1.0455494868390387,1.0455494868390387,1.1341199038443002,1.1525684930840048
2026-02-24,1.1191021167111248,1.0451494004229025,1.0451494004229025,1.1379685709794787,1.1565342086508679
2026-02-25,1.1212461951697752,1.0552835945935914,1.0552835945935914,1.1414336993119523,1.159894665873912
2026-02-26,1.1140313540000994,1.0520120050482127,1.0520120050482127,1.1432615538478907,1.1613328255545112
2026-02-27,1.107347079327716,1.047658993401514,1.047658993401514,1.141173065783902,1.1570393128780132
2026-03-03,1.068348329025337,1.0262422368480515,1.0262422368480515,1.1107734709586734,1.1266839532117616
