date,Daily Top20,Weekly Top20,Weekly Buffer 20/25,Weekly Score50 MADScale,Biweekly Score50 MADScale
2025-12-08,1.4035194668158293,1.3313326326400179,1.3302085826709522,1.4590796485755122,1.4590796485755122
2025-12-09,1.4026617975962405,1.3305190756876233,1.3276508759885646,1.4601076459678433,1.4601076459678433
2025-12-10,1.4062205535311252,1.3338947950985283,1.3304144470077564,1.4638145056471057,1.4638145056471057
2025-12-11,1.4116544419932495,1.3386273461259568,1.3406442317731777,1.4746289392251433,1.4746289392251433
2025-12-12,1.4276175325217642,1.3586158637647243,1.3548371841004425,1.4983633480817309,1.4983633480817309
2025-12-15,1.409589833817402,1.3414720101793771,1.3380885504806803,1.4847088133848578,1.4847088133848578
2025-12-16,1.3897877219037793,1.3226268268237162,1.3193093074931597,1.4611252287733643,1.4611252287733643
2025-12-17,1.3980855954352274,1.330523709178706,1.326850758701593,1.4771290234049996,1.4771290234049996
2025-12-18,1.3821402789509443,1.315348943268832,1.3117950085915908,1.4697383055383242,1.4697383055383242
2025-12-19,1.3865200197846084,1.3195170350067589,1.3164851193566336,1.4768534659927242,1.4768534659927242
2025-12-22,1.4064748144531503,1.3385075227887482,1.3338790919995698,1.4964979469532003,1.4964979469532003
2025-12-23,1.4016880771175453,1.3339521024801293,1.3316800859321622,1.493982478482837,1.493982478482837
2025-12-24,1.3955524924708398,1.3281130173277118,1.3256710772665776,1.488232767357647,1.488232767357647
2025-12-26,1.3897121964446517,1.322554951099981,1.3202534593471882,1.4864209114027045,1.4864209114027045
2025-12-29,1.3815061931644053,1.3147454994057395,1.3127022935104635,1.493339166837524,1.493339166837524
2025-12-30,1.3832268990837433,1.3163830529501566,1.3136541012361116,1.491157559699459,1.491157559699459
2026-01-02,1.42200490501674,1.3532871283923065,1.35170741287651,1.5219862155635104,1.5219862155635104
2026-01-05,1.4462705112484613,1.3763801096191455,1.3742829467928075,1.557425223067293,1.557425223067293
2026-01-06,1.4590697605778207,1.3885608407188754,1.3854546138272554,1.5712882887541102,1.5712882887541102
2026-01-07,1.465984232202516,1.3951411734704167,1.387127228792178,1.5700503796146534,1.5700503796146534
2026-01-08,1.4541406504918606,1.383869927761947,1.3753031980745984,1.5694149675749325,1.5694149675749325
2026-01-09,1.4778772521926669,1.406459468374747,1.3914784628430168,1.6096708592535405,1.6096708592535405
2026-01-12,1.49879777805221,1.4263690188024822,1.4116351611835676,1.6284812222948917,1.6284812222948917
2026-01-13,1.5157905515439536,1.4425406238095635,1.4263669936885026,1.6407700104478382,1.6407700104478382
2026-01-14,1.5375375333708818,1.4632366920748252,1.445663709198283,1.6603786946596264,1.6603786946596264
2026-01-15,1.5597321624391804,1.4843587752206753,1.4677050481616398,1.680339783680083,1.680339783680083
2026-01-16,1.5602923719273487,1.4848919128258036,1.473081252275547,1.6918147035444453,1.6918147035444453
2026-01-19,1.5726534770233225,1.4966556728241482,1.4848292156191771,1.7091190622309334,1.7091190622309334
2026-01-20,1.5801658826589795,1.5038050446822409,1.4937422073818662,1.7217274740584967,1.7217274740584967
2026-01-21,1.5685100795640001,1.4927125032684507,1.4838494413621774,1.704067667992537,1.704067667992537
2026-01-22,1.583263769565915,1.506753227534199,1.4991025185673212,1.7242793121421753,1.7242793121421753
2026-01-23,1.6061537360137499,1.5285370461792,1.521346877063307,1.7535060206854447,1.7535060206854447
2026-01-26,1.6040820593916774,1.5265654824406003,1.5152138129473778,1.7571047576107792,1.7571047576107792
2026-01-27,1.6246236542560795,1.546114413550875,1.5385731030756802,1.7717032266973938,1.7717032266973938
2026-01-28,1.6391305407534196,1.559920260985464,1.5562025744658408,1.7931545879252528,1.7931545879252528
2026-01-29,1.665836935420816,1.5853360805945582,1.5767431059689265,1.816549105836147,1.816549105836147
2026-01-30,1.669867510083626,1.5891718794669543,1.579135991606664,1.8156992503603484,1.8156992503603484
2026-02-02,1.6234567529611896,1.545003902260156,1.5352201826759362,1.7671810981950744,1.7671810981950744
2026-02-03,1.7038612635903132,1.6215228994276056,1.6068642110254794,1.8415045679845699,1.8415045679845699
2026-02-04,1.7341470517498332,1.6503451398748088,1.63790230182687,1.871785578163574,1.871785578163574
2026-02-05,1.7158067332391278,1.6328911093833594,1.624884149689566,1.8494357653007414,1.8494357653007414
2026-02-06,1.6900465057053051,1.608375733787261,1.5955629505743336,1.8195520547332729,1.8195520547332729
2026-02-09,1.7506328122321546,1.6660342330585072,1.6341754305412306,1.8616391858806605,1.8616391858806605
