SignalDate,AssetKey,TargetWeight
2023-07-31,KR:ETF:360750,0.125
2023-08-31,US:STOCK:ADBE,0.14285714285714285
2023-08-31,US:STOCK:AVGO,0.14285714285714285
2023-08-31,US:STOCK:GE,0.14285714285714285
2023-08-31,US:STOCK:NFLX,0.14285714285714285
2023-08-31,US:STOCK:NVDA,0.14285714285714285
2023-08-31,KR:ETF:379800,0.14285714285714285
2023-08-31,KR:ETF:360750,0.14285714285714285
2023-10-31,US:STOCK:AIG,0.16000000000000003
2023-10-31,US:STOCK:IBM,0.16000000000000003
2023-10-31,US:STOCK:INTC,0.16000000000000003
2023-10-31,US:STOCK:MSFT,0.16000000000000003
2023-10-31,US:STOCK:NOW,0.16000000000000003
2023-11-30,US:STOCK:PLTR,0.1875
2023-11-30,KR:ETF:379800,0.1875
2023-11-30,KR:ETF:360750,0.1875
2023-11-30,KR:STOCK:056080,0.1875
2024-01-31,US:STOCK:AMD,0.11428571428571428
2024-01-31,US:STOCK:AVGO,0.11428571428571428
2024-01-31,US:STOCK:LLY,0.11428571428571428
2024-01-31,US:STOCK:NOW,0.11428571428571428
2024-01-31,US:STOCK:NVDA,0.11428571428571428
2024-01-31,KR:ETF:379800,0.11428571428571428
2024-01-31,KR:ETF:360750,0.11428571428571428
2024-02-29,KR:ETF:069500,0.1875
2024-02-29,KR:ETF:379800,0.1875
2024-02-29,KR:ETF:360750,0.1875
2024-02-29,KR:STOCK:080220,0.1875
2024-04-30,US:STOCK:AXP,0.14285714285714285
2024-04-30,US:STOCK:GE,0.14285714285714285
2024-04-30,US:STOCK:MU,0.14285714285714285
2024-04-30,US:STOCK:NVDA,0.14285714285714285
2024-04-30,US:STOCK:WFC,0.14285714285714285
2024-04-30,KR:ETF:379800,0.14285714285714285
2024-04-30,KR:ETF:360750,0.14285714285714285
2024-05-31,US:STOCK:AMAT,0.16000000000000003
2024-05-31,US:STOCK:GE,0.16000000000000003
2024-05-31,US:STOCK:MU,0.16000000000000003
2024-05-31,US:STOCK:NVDA,0.16000000000000003
2024-05-31,US:STOCK:QCOM,0.16000000000000003
2024-06-28,KR:ETF:069500,0.1875
2024-06-28,KR:ETF:379800,0.1875
2024-06-28,KR:ETF:360750,0.1875
2024-06-28,KR:STOCK:003230,0.1875
2024-07-31,US:STOCK:AVGO,0.14285714285714285
2024-07-31,US:STOCK:AXP,0.14285714285714285
2024-07-31,US:STOCK:BK,0.14285714285714285
2024-07-31,US:STOCK:GS,0.14285714285714285
2024-07-31,US:STOCK:PLTR,0.14285714285714285
2024-07-31,KR:ETF:069500,0.14285714285714285
2024-07-31,KR:ETF:379800,0.14285714285714285
2024-08-30,US:STOCK:AVGO,0.2
2024-08-30,US:STOCK:GS,0.2
2024-08-30,US:STOCK:ISRG,0.2
2024-08-30,US:STOCK:LLY,0.2
2024-08-30,US:STOCK:PLTR,0.2
2024-09-30,US:STOCK:AVGO,0.11428571428571428
2024-09-30,US:STOCK:BK,0.11428571428571428
2024-09-30,US:STOCK:NVDA,0.11428571428571428
2024-09-30,US:STOCK:ORCL,0.11428571428571428
2024-09-30,US:STOCK:PLTR,0.11428571428571428
2024-09-30,KR:ETF:379800,0.11428571428571428
2024-09-30,KR:ETF:360750,0.11428571428571428
2024-10-31,US:STOCK:AVGO,0.11428571428571428
2024-10-31,US:STOCK:BK,0.11428571428571428
2024-10-31,US:STOCK:NVDA,0.11428571428571428
2024-10-31,US:STOCK:ORCL,0.11428571428571428
2024-10-31,US:STOCK:PLTR,0.11428571428571428
2024-10-31,KR:ETF:379800,0.11428571428571428
2024-10-31,KR:ETF:360750,0.11428571428571428
2024-11-29,US:STOCK:COF,0.14285714285714285
2024-11-29,US:STOCK:NVDA,0.14285714285714285
2024-11-29,US:STOCK:ORCL,0.14285714285714285
2024-11-29,US:STOCK:PLTR,0.14285714285714285
2024-11-29,US:STOCK:TSLA,0.14285714285714285
2024-11-29,KR:ETF:379800,0.14285714285714285
2024-11-29,KR:ETF:360750,0.14285714285714285
2025-01-31,US:STOCK:AVGO,0.14285714285714285
2025-01-31,US:STOCK:GS,0.14285714285714285
2025-01-31,US:STOCK:META,0.14285714285714285
2025-01-31,US:STOCK:NFLX,0.14285714285714285
2025-01-31,US:STOCK:PLTR,0.14285714285714285
2025-01-31,KR:ETF:379800,0.14285714285714285
2025-01-31,KR:ETF:360750,0.14285714285714285
2025-02-28,US:STOCK:FOX,0.1875
2025-02-28,US:STOCK:FOXA,0.1875
2025-02-28,US:STOCK:GILD,0.1875
2025-02-28,KR:STOCK:003230,0.1875
2025-03-31,US:STOCK:AIG,0.2
2025-03-31,US:STOCK:BRK.B,0.2
2025-03-31,US:STOCK:CVS,0.2
2025-03-31,US:STOCK:GILD,0.2
2025-03-31,US:STOCK:V,0.2
2025-04-30,US:STOCK:AVGO,0.2
2025-04-30,US:STOCK:BRK.B,0.2
2025-04-30,US:STOCK:GEV,0.2
2025-04-30,US:STOCK:PLTR,0.2
2025-04-30,US:STOCK:UBER,0.2
2025-05-30,US:STOCK:AVGO,0.2
2025-05-30,US:STOCK:BA,0.2
2025-05-30,US:STOCK:GE,0.2
2025-05-30,US:STOCK:GEV,0.2
2025-05-30,US:STOCK:PLTR,0.2
2025-06-30,US:STOCK:AVGO,0.16666666666666666
2025-06-30,US:STOCK:GE,0.16666666666666666
2025-06-30,US:STOCK:GEV,0.16666666666666666
2025-06-30,US:STOCK:ORCL,0.16666666666666666
2025-06-30,US:STOCK:PLTR,0.16666666666666666
2025-06-30,KR:ETF:069500,0.16666666666666666
2025-07-31,US:STOCK:AMD,0.125
2025-07-31,US:STOCK:AVGO,0.125
2025-07-31,US:STOCK:GEV,0.125
2025-07-31,US:STOCK:ORCL,0.125
2025-07-31,US:STOCK:PLTR,0.125
2025-07-31,KR:ETF:069500,0.125
2025-07-31,KR:ETF:379800,0.125
2025-07-31,KR:ETF:360750,0.125
2025-08-29,US:STOCK:AMD,0.125
2025-08-29,US:STOCK:AVGO,0.125
2025-08-29,US:STOCK:C,0.125
2025-08-29,US:STOCK:GEV,0.125
2025-08-29,US:STOCK:PLTR,0.125
2025-08-29,KR:ETF:069500,0.125
2025-08-29,KR:ETF:379800,0.125
2025-08-29,KR:ETF:360750,0.125
2025-09-30,US:STOCK:AVGO,0.1
2025-09-30,US:STOCK:LRCX,0.1
2025-09-30,US:STOCK:MU,0.1
2025-09-30,US:STOCK:ORCL,0.1
2025-09-30,US:STOCK:PLTR,0.1
2025-09-30,KR:ETF:069500,0.1
2025-09-30,KR:ETF:379800,0.1
2025-09-30,KR:ETF:360750,0.1
2025-10-31,US:STOCK:AMD,0.1
2025-10-31,US:STOCK:INTC,0.1
2025-10-31,US:STOCK:LRCX,0.1
2025-10-31,US:STOCK:MU,0.1
2025-10-31,US:STOCK:PLTR,0.1
2025-10-31,KR:ETF:069500,0.1
2025-10-31,KR:ETF:379800,0.1
2025-10-31,KR:ETF:360750,0.1
2025-11-28,US:STOCK:AMAT,0.1
2025-11-28,US:STOCK:AVGO,0.1
2025-11-28,US:STOCK:INTC,0.1
2025-11-28,US:STOCK:LRCX,0.1
2025-11-28,US:STOCK:MU,0.1
2025-11-28,KR:ETF:069500,0.1
2025-11-28,KR:ETF:379800,0.1
2025-11-28,KR:ETF:360750,0.1
2026-01-30,US:STOCK:CAT,0.125
2026-01-30,US:STOCK:FDX,0.125
2026-01-30,US:STOCK:GEV,0.125
2026-01-30,US:STOCK:JNJ,0.125
2026-01-30,US:STOCK:LMT,0.125
2026-01-30,KR:ETF:069500,0.125
2026-01-30,KR:ETF:0000J0,0.125
2026-01-30,KR:ETF:0000Z0,0.125
