Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
MS,MS,Morgan Stanley,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MSFT,MSFT,Microsoft,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
MU,MU,Micron Technology,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NEE,NEE,NextEra Energy,Utilities,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NFLX,NFLX,Netflix,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NKE,NKE,Nike,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NOV,NOV,National Oilwell Varco,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NOW,NOW,ServiceNow,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NSC,NSC,Norfolk Southern Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
NVDA,NVDA,Nvidia,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ORCL,ORCL,Oracle,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
OXY,OXY,Occidental Petroleum,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
PCLN,PCLN,Priceline Group Inc/The,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,112,2025-10-16,2026-03-27
PEP,PEP,PepsiCo,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
PFE,PFE,Pfizer,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
PG,PG,Procter & Gamble,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
PLTR,PLTR,Palantir Technologies,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,1379,2020-09-30,2026-03-27
PM,PM,Philip Morris International,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
PYPL,PYPL,PayPal,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2699,2015-07-06,2026-03-27
QCOM,QCOM,Qualcomm,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
RTX,RTX,RTX Corporation,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
SBUX,SBUX,Starbucks,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
SCHW,SCHW,Charles Schwab,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
SLB,SLB,Schlumberger,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
SO,SO,Southern Company,Utilities,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
SPG,SPG,Simon,Real Estate,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
T,T,AT&T,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
TGT,TGT,Target,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
TMO,TMO,Thermo Fisher Scientific,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
TMUS,TMUS,T-Mobile,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
TSLA,TSLA,Tesla,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
TWX,TWX,Time Warner Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,869,2015-01-02,2018-06-15
TXN,TXN,Texas Instruments,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
UBER,UBER,Uber,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,1730,2019-05-10,2026-03-27
UNH,UNH,UnitedHealth,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
UNP,UNP,Union Pacific,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
UPS,UPS,United Parcel Service,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
USB,USB,U.S. Bancorp,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
V,V,Visa,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
VZ,VZ,Verizon,Communication Services,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
WFC,WFC,Wells Fargo,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
WMT,WMT,Walmart,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
XOM,XOM,Exxon Mobil Corp.,Energy,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
