Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
TMUS,TMUS,T-Mobile US,Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
TXN,TXN,Texas Instruments,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
UBER,UBER,Uber,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,1729,2019-05-10,2026-03-26
UNH,UNH,UnitedHealth Group,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
UNP,UNP,Union Pacific Corporation,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
UPS,UPS,United Parcel Service,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
USB,USB,U.S. Bancorp,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
V,V,Visa Inc.,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
VZ,VZ,Verizon,Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
WFC,WFC,Wells Fargo,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
WMT,WMT,Walmart,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
XOM,XOM,ExxonMobil,Energy,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
