Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
BIIB,BIIB,Biogen Idec,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BK,BK,Bank of New York,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BMY,BMY,Bristol-Myers Squibb,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
BRK.B,BRK-B,Berkshire Hathaway,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
C,C,Citigroup Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
CAT,CAT,Caterpillar Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
CL,CL,Colgate-Palmolive Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
CMCSA,CMCSA,Comcast Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
COF,COF,Capital One Financial Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
COP,COP,ConocoPhillips,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
COST,COST,Costco,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
CSCO,CSCO,Cisco Systems,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-02-28,2015-03-30,2015-02-28,2015-02-14,647149485
