Symbol,Name,Sector,YahooTicker,SnapshotDate,RevisionDate,OldId
UPS,United Parcel Service Inc,,UPS,2015-02-28,2015-02-14,647149485
USB,US Bancorp,,USB,2015-02-28,2015-02-14,647149485
UTX,United Technologies Corp,,UTX,2015-02-28,2015-02-14,647149485
V,Visa Inc.,,V,2015-02-28,2015-02-14,647149485
VZ,Verizon Communications Inc,,VZ,2015-02-28,2015-02-14,647149485
WBA,Walgreens Boots Alliance,,WBA,2015-02-28,2015-02-14,647149485
WFC,Wells Fargo,,WFC,2015-02-28,2015-02-14,647149485
WMT,Wal-Mart,,WMT,2015-02-28,2015-02-14,647149485
XOM,Exxon Mobil Corp,,XOM,2015-02-28,2015-02-14,647149485
AAPL,Apple Inc.,,AAPL,2015-03-31,2015-03-19,652070593
ABBV,AbbVie Inc.,,ABBV,2015-03-31,2015-03-19,652070593
ABT,Abbott Laboratories,,ABT,2015-03-31,2015-03-19,652070593
ACN,Accenture plc,,ACN,2015-03-31,2015-03-19,652070593
AIG,American International Group Inc.,,AIG,2015-03-31,2015-03-19,652070593
ALL,Allstate Corp.,,ALL,2015-03-31,2015-03-19,652070593
AMGN,Amgen Inc.,,AMGN,2015-03-31,2015-03-19,652070593
AMZN,Amazon.com,,AMZN,2015-03-31,2015-03-19,652070593
APA,Apache Corp.,,APA,2015-03-31,2015-03-19,652070593
APC,Anadarko Petroleum Corporation,,APC,2015-03-31,2015-03-19,652070593
AXP,American Express Inc.,,AXP,2015-03-31,2015-03-19,652070593
BA,Boeing Co.,,BA,2015-03-31,2015-03-19,652070593
BAC,Bank of America Corp,,BAC,2015-03-31,2015-03-19,652070593
BAX,Baxter International Inc,,BAX,2015-03-31,2015-03-19,652070593
BIIB,Biogen Idec,,BIIB,2015-03-31,2015-03-19,652070593
BK,Bank of New York,,BK,2015-03-31,2015-03-19,652070593
BMY,Bristol-Myers Squibb,,BMY,2015-03-31,2015-03-19,652070593
BRK.B,Berkshire Hathaway,,BRK-B,2015-03-31,2015-03-19,652070593
C,Citigroup Inc,,C,2015-03-31,2015-03-19,652070593
CAT,Caterpillar Inc,,CAT,2015-03-31,2015-03-19,652070593
CL,Colgate-Palmolive Co.,,CL,2015-03-31,2015-03-19,652070593
CMCSA,Comcast Corporation,,CMCSA,2015-03-31,2015-03-19,652070593
COF,Capital One Financial Corp.,,COF,2015-03-31,2015-03-19,652070593
COP,ConocoPhillips,,COP,2015-03-31,2015-03-19,652070593
COST,Costco,,COST,2015-03-31,2015-03-19,652070593
CSCO,Cisco Systems,,CSCO,2015-03-31,2015-03-19,652070593
CVS,CVS Caremark,,CVS,2015-03-31,2015-03-19,652070593
CVX,Chevron,,CVX,2015-03-31,2015-03-19,652070593
DD,DuPont,,DD,2015-03-31,2015-03-19,652070593
DIS,The Walt Disney Company,,DIS,2015-03-31,2015-03-19,652070593
DOW,Dow Chemical,,DOW,2015-03-31,2015-03-19,652070593
DVN,Devon Energy,,DVN,2015-03-31,2015-03-19,652070593
EBAY,eBay Inc.,,EBAY,2015-03-31,2015-03-19,652070593
EMC,EMC Corporation,,EMC,2015-03-31,2015-03-19,652070593
EMR,Emerson Electric Co.,,EMR,2015-03-31,2015-03-19,652070593
EXC,Exelon,,EXC,2015-03-31,2015-03-19,652070593
F,Ford Motor,,F,2015-03-31,2015-03-19,652070593
FB,Facebook,,FB,2015-03-31,2015-03-19,652070593
FCX,Freeport-McMoran,,FCX,2015-03-31,2015-03-19,652070593
FDX,FedEx,,FDX,2015-03-31,2015-03-19,652070593
FOXA,"Twenty-First Century Fox, Inc",,FOXA,2015-03-31,2015-03-19,652070593
GD,General Dynamics,,GD,2015-03-31,2015-03-19,652070593
GE,General Electric Co.,,GE,2015-03-31,2015-03-19,652070593
GILD,Gilead Sciences,,GILD,2015-03-31,2015-03-19,652070593
GM,General Motors,,GM,2015-03-31,2015-03-19,652070593
GOOG,Google Inc.,,GOOG,2015-03-31,2015-03-19,652070593
GS,Goldman Sachs,,GS,2015-03-31,2015-03-19,652070593
HAL,Halliburton,,HAL,2015-03-31,2015-03-19,652070593
HD,Home Depot,,HD,2015-03-31,2015-03-19,652070593
HON,Honeywell,,HON,2015-03-31,2015-03-19,652070593
HPQ,Hewlett Packard Co,,HPQ,2015-03-31,2015-03-19,652070593
IBM,International Business Machines,,IBM,2015-03-31,2015-03-19,652070593
INTC,Intel Corporation,,INTC,2015-03-31,2015-03-19,652070593
JNJ,Johnson & Johnson Inc,,JNJ,2015-03-31,2015-03-19,652070593
JPM,JP Morgan Chase & Co,,JPM,2015-03-31,2015-03-19,652070593
KO,The Coca-Cola Company,,KO,2015-03-31,2015-03-19,652070593
LLY,Eli Lilly and Company,,LLY,2015-03-31,2015-03-19,652070593
LMT,Lockheed-Martin,,LMT,2015-03-31,2015-03-19,652070593
LOW,Lowe's,,LOW,2015-03-31,2015-03-19,652070593
MA,Mastercard Inc,,MA,2015-03-31,2015-03-19,652070593
MCD,McDonald's Corp,,MCD,2015-03-31,2015-03-19,652070593
MDLZ,Mondelēz International,,MDLZ,2015-03-31,2015-03-19,652070593
MDT,Medtronic Inc.,,MDT,2015-03-31,2015-03-19,652070593
MET,Metlife Inc.,,MET,2015-03-31,2015-03-19,652070593
MMM,3M Company,,MMM,2015-03-31,2015-03-19,652070593
MO,Altria Group,,MO,2015-03-31,2015-03-19,652070593
MON,Monsanto,,MON,2015-03-31,2015-03-19,652070593
MRK,Merck & Co.,,MRK,2015-03-31,2015-03-19,652070593
MS,Morgan Stanley,,MS,2015-03-31,2015-03-19,652070593
MSFT,Microsoft,,MSFT,2015-03-31,2015-03-19,652070593
NKE,Nike,,NKE,2015-03-31,2015-03-19,652070593
NOV,National Oilwell Varco,,NOV,2015-03-31,2015-03-19,652070593
NSC,Norfolk Southern Corp,,NSC,2015-03-31,2015-03-19,652070593
ORCL,Oracle Corporation,,ORCL,2015-03-31,2015-03-19,652070593
OXY,Occidental Petroleum Corp.,,OXY,2015-03-31,2015-03-19,652070593
PEP,Pepsico Inc.,,PEP,2015-03-31,2015-03-19,652070593
PFE,Pfizer Inc,,PFE,2015-03-31,2015-03-19,652070593
PG,Procter & Gamble Co,,PG,2015-03-31,2015-03-19,652070593
PM,Phillip Morris International,,PM,2015-03-31,2015-03-19,652070593
QCOM,Qualcomm Inc.,,QCOM,2015-03-31,2015-03-19,652070593
RTN,Raytheon Co (NEW),,RTN,2015-03-31,2015-03-19,652070593
SBUX,Starbucks Corporation,,SBUX,2015-03-31,2015-03-19,652070593
SLB,Schlumberger,,SLB,2015-03-31,2015-03-19,652070593
SO,Southern Company,,SO,2015-03-31,2015-03-19,652070593
SPG,"Simon Property Group, Inc.",,SPG,2015-03-31,2015-03-19,652070593
T,AT&T Inc,,T,2015-03-31,2015-03-19,652070593
TGT,Target Corp.,,TGT,2015-03-31,2015-03-19,652070593
TWX,Time Warner Inc.,,TWX,2015-03-31,2015-03-19,652070593
TXN,Texas Instruments,,TXN,2015-03-31,2015-03-19,652070593
UNH,UnitedHealth Group Inc.,,UNH,2015-03-31,2015-03-19,652070593
UNP,Union Pacific Corp.,,UNP,2015-03-31,2015-03-19,652070593
UPS,United Parcel Service Inc,,UPS,2015-03-31,2015-03-19,652070593
USB,US Bancorp,,USB,2015-03-31,2015-03-19,652070593
UTX,United Technologies Corp,,UTX,2015-03-31,2015-03-19,652070593
V,Visa Inc.,,V,2015-03-31,2015-03-19,652070593
VZ,Verizon Communications Inc,,VZ,2015-03-31,2015-03-19,652070593
WBA,Walgreens Boots Alliance,,WBA,2015-03-31,2015-03-19,652070593
WFC,Wells Fargo,,WFC,2015-03-31,2015-03-19,652070593
WMT,Wal-Mart,,WMT,2015-03-31,2015-03-19,652070593
XOM,Exxon Mobil Corp,,XOM,2015-03-31,2015-03-19,652070593
