StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount,RunId,RunStartedAt
Biweekly Score50 Rotation,0.5,0.1187037769599697,0.094162423312808,0.0245413536471617,8.8752599935474,914,-0.1405661069768218,0.940771933309243,2.0740889182476425,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.5,0.1177395038245852,0.093720353402287,0.0240191504222981,8.691679449142608,914,-0.1399013036392068,0.9426715088703124,2.067305301877882,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,0.5,0.1177395038245852,0.093720353402287,0.0240191504222981,8.691679449142608,914,-0.1399013036392068,0.9426715088703124,2.067305301877882,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,0.5,0.1177577723691321,0.0914033946747594,0.0263543776943726,9.54777979618998,1054,-0.1404356077243848,0.9145472725412452,2.0320684238538247,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,0.5,0.1171165419899988,0.0913668992056777,0.0257496427843211,9.331192643286332,1054,-0.1397707034408596,0.9199062686440396,2.0315176306704346,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,0.5,0.1171165419899988,0.0913668992056777,0.0257496427843211,9.33119264328633,1054,-0.1397707034408596,0.9199062686440396,2.0315176306704346,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,0.5,0.1352662449276844,0.0902536899936912,0.0450125549339932,16.189323147091827,4366,-0.1814561227775502,0.8180712422721301,2.014779725367564,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,0.5,0.1335271327155325,0.0873623653488917,0.0461647673666407,16.640740321722152,4440,-0.1814561227775518,0.7932770011278963,1.971870043128233,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,0.6,0.1509190727579334,0.1043203410769784,0.046598731680955,13.78508095195243,728,-0.173245984442993,0.947643958210154,2.235435281973005,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.6,0.1507049877974327,0.1040772915217962,0.0466276962756364,13.796408691391608,728,-0.1732459844429927,0.9455873593472212,2.2314498957427262,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,0.6,0.1187037769599697,0.0893174386266164,0.0293863383333532,8.8752599935474,914,-0.1483179851059631,0.8968520187332223,2.00079623081514,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.6,0.1177395038245852,0.0889771480165135,0.0287623558080716,8.691679449142608,914,-0.1465924827297711,0.8993449316963945,1.995734902521876,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,0.6,0.1177395038245852,0.0889771480165135,0.0287623558080716,8.691679449142608,914,-0.1465924827297711,0.8993449316963945,1.995734902521876,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.6,0.1365681855361464,0.0884395923107128,0.0481285932254336,14.425874157361989,3626,-0.1851743917921354,0.797902272357889,1.987762411133179,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,0.6,0.1171165419899988,0.0862867982094144,0.0308297437805844,9.331192643286332,1054,-0.1494696343614454,0.8734976375028114,1.95611340305787,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,0.6,0.1171165419899988,0.0862867982094144,0.0308297437805844,9.33119264328633,1054,-0.1494696343614454,0.8734976375028114,1.95611340305787,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,0.6,0.1177577723691321,0.0862056880965189,0.0315520842726131,9.54777979618998,1054,-0.1513043802620708,0.867408544298694,1.954929659876616,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,0.6,0.1352662449276844,0.0814651362747336,0.0538011086529508,16.189323147091827,4366,-0.1895357649241467,0.7468238504871203,1.88682627259574,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,0.6,0.1335271327155325,0.0783549154616276,0.0551722172539048,16.640740321722152,4440,-0.1957158750121277,0.7202567936405028,1.843282712877287,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,0.8,0.1509190727579334,0.0892053955237344,0.061713677234199,13.78508095195243,728,-0.1964424864464867,0.8239292109706645,1.9991285113820196,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.8,0.1507049877974327,0.0889532998586695,0.0617516879387631,13.796408691391608,728,-0.1964424864464877,0.8217815437276244,1.9953806170766664,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,0.8,0.1187037769599697,0.0796900480925952,0.0390137288673744,8.8752599935474,914,-0.1691306744852085,0.8089424907208259,1.8618656398195004,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.8,0.1177395038245852,0.0795506992795618,0.0381888045450233,8.691679449142608,914,-0.1671471857294494,0.8126238208710278,1.8599184803153077,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
