AsOfDate,Market,AssetType,Symbol,Name,Sector,CurrentPrice,MedianDailyValue60D,AvgDailyValue20D,RelVolume20D60D,R1M,R3M,R6M,R12M,MA50,MA200,TrendOK,MAD63,DistanceTo52WHigh,FlowScore,FlowAcceleration,MomentumScore,KRPriceSource,KRFlowSource,KRUniverseSource,CountryLabel,CountryAligned,SectorAligned,LiquidityOK,FlowAligned,StructureOK,WatchGrade,InitialPositionCap,Theme,TrendState,TenbaggerScore
2026-03-27,US,STOCK,GEV,GE Vernova,Industrials,853.1599731445312,2069784886.428833,2271271773.7835693,0.9304107581168641,-0.025995657658364535,0.2802019466558596,0.40680240628872544,1.6933723685727915,799.7180236816406,649.8200427246094,1,0.019139238925458768,-0.07635681788311766,0.08904845286305829,0.0,0.13489416201656523,,,,US,0,1,1,0,1,Watch,0.02,Industrials,LONG_UPTREND,0.7379800528485193
2026-04-10,KR,STOCK,053610,프로텍,Information Technology,55300.0,3551447150.0,2504816220.0,0.4093694184180318,-0.0053956834532373765,0.5361111111111112,0.8071895424836601,1.490990990990991,53902.0,36439.75,1,0.0248667850799289,-0.09344262295081962,0.037947411678769784,0.21999999999999975,0.17502731439649555,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Starter,0.04,Information Technology,LONG_UPTREND,0.7214607112306483
2026-03-27,US,STOCK,AMAT,Applied Materials,Information Technology,337.1700134277344,2430548327.799988,2405678507.8388977,0.8868656422362878,-0.10260296941265035,0.29454145158616196,0.6946505569043586,1.257673968191984,344.1281201171875,244.9392618560791,0,0.020783043936231094,-0.14629699200770974,0.11609967074585019,0.0,0.13194295057575572,,,,US,0,0,1,0,1,Exit Watch,0.0,Information Technology,TREND_WEAKENING,0.6837583807310406
2026-03-27,US,STOCK,CAT,Caterpillar,Industrials,695.4000244140625,1856743906.9610596,1906357986.2512207,0.9497928298044173,-0.07640812402394459,0.19403009788619774,0.507439066680303,1.0666896975370723,706.1091857910156,541.1641668701172,0,0.01445535647465479,-0.10270964591733867,0.08267497878863724,0.0,0.10212426601814395,,,,US,0,1,1,0,1,Exit Watch,0.0,Industrials,TREND_WEAKENING,0.5558152387650396
2026-04-10,KR,STOCK,361390,제노코,Industrials,30000.0,10465483925.0,10712321390.0,0.6784104912720005,0.034482758620689724,0.32743362831858414,0.786777843954735,0.9169329073482428,28296.0,20240.3,1,0.03673469387755102,-0.15254237288135597,-0.01104108824757101,-0.4399999999999977,0.13113664371894557,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Starter,0.04,Industrials,LONG_UPTREND,0.5464041734097065
2026-03-27,US,STOCK,HAL,Halliburton,nan,40.41999816894531,501306031.74819946,681196534.2070961,1.2014680392322652,0.13737945641860927,0.4490124403929179,0.6575034267803124,0.6158812296353726,34.842583084106444,26.847085542678833,1,0.01372779260521817,0.0,0.2515753242729601,0.2014680392322652,0.12065172434069137,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.5136411342712736
2026-03-27,US,STOCK,DOW,Dow,Materials,40.81999969482422,395979125.88386536,572784019.1206837,1.1545043186488857,0.38138750418745326,0.7911312812809712,0.8881564686149899,0.22491502292955756,32.15395481109619,25.85323694229126,1,0.0203244919775889,0.0,0.3313827311989554,0.1545043186488857,0.1562617075980476,,,,US,0,1,1,0,1,Watch,0.02,Materials,LONG_UPTREND,0.46245807951776774
2026-04-10,KR,STOCK,024060,흥구석유,Energy,19360.0,87829450225.0,147445639677.0,0.8461006725305608,-0.25538461538461543,0.5426294820717132,0.5752644426362896,0.7285714285714286,19675.6,14330.5,0,0.03994507604213626,-0.40795107033639144,0.05420945595503529,1.61,0.10750138501244087,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,0,1,1,1,Exit Watch,0.0,Energy,TREND_WEAKENING,0.4413890741955408
2026-04-10,KR,STOCK,272110,케이엔제이,Information Technology,34650.0,6162540750.0,5375730207.5,0.6493771777970725,-0.040166204986149534,0.6539379474940334,0.2509025270758123,1.1038251366120218,33190.0,24634.0,1,0.0376843455835183,-0.10925449871465298,0.09467984051200488,2.460000000000001,0.12104598217403204,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Starter,0.04,Information Technology,LONG_UPTREND,0.43576323503710346
2026-03-27,US,STOCK,DVN,Devon Energy,nan,52.06999969482422,506277283.00857544,912175364.6094513,1.4112597286274344,0.22695647273063613,0.4459105456962942,0.47312438821443337,0.4256344226806612,43.56312171936035,36.41527374267578,1,0.012138383341608883,0.0,0.2902590651942661,0.41125972862743443,0.10155716481386944,,,,US,0,0,1,0,1,Watch,0.02,nan,LONG_UPTREND,0.4197934028865381
2026-03-27,US,STOCK,XOM,Exxon Mobil Corp.,Energy,170.99000549316406,2988413035.1150513,3837103392.60376,1.108139713676375,0.1511378296872934,0.4437989767143309,0.5021651431095018,0.4954350933719376,148.5465460205078,121.29209007263184,1,0.012921530707217244,0.0,0.1937072578627638,0.1081397136763751,0.10327595513974899,,,,US,0,1,1,0,1,Watch,0.02,Energy,LONG_UPTREND,0.39443712849937457
2026-04-10,KR,STOCK,083450,GST,Information Technology,32350.0,9318760775.0,8059151995.0,0.7606505888799504,0.10034013605442182,0.127177700348432,0.3943965517241379,0.7062236286919832,28969.0,24724.1,1,0.026981450252951067,-0.03288490284005974,0.1938338537047698,4.800000000000001,0.07944625714276299,D:\AI\모멘텀 투자\data\prices_operating_institutional_v1,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1,D:\AI\모멘텀 투자\backtests\kis_operating_universe_candidates_institutional_v1.csv,Korea,1,1,1,1,1,Starter,0.04,Information Technology,LONG_UPTREND,0.3783897295333503
